id,override,title,description
p7825-v9609-s,fr_XX,MORJAS The Ivy Loafer - Rubber Sole - Daim Noir,"Le Ivy Loafer puise son inspiration dans le style Ivy traditionnel. Sa forme légèrement plus carrée et sa coupe décontractée le distinguent de notre Penny Loafer, lui donnant une allure sportive et durable. Son empeigne raccourcie et son cousu 360° soulignent l’influence universitaire de son design."
p764-v2281-s,fr_XX,MORJAS The Penny Loafer Unlined - Daim Marron – Non Doublé,"Notre penny loafer non doublé est pensé pour un confort naturel, réalisé en daim souple et respirant, sans doublure intérieure. La silhouette décontractée conserve les lignes épurées de notre modèle original, avec un tombé légèrement plus souple qui lui donne son caractère. Chaque paire est fabriquée à la main à Almansa et montée en cousu Goodyear pour un confort durable et une grande longévité."
p1627-v3144-s,fr_XX,MORJAS The Penny Loafer Unlined - Daim Marron Moyen – Non Doublé,"Notre penny loafer non doublé est pensé pour un confort naturel, réalisé en daim souple et respirant, sans doublure intérieure. La silhouette décontractée conserve les lignes épurées de notre modèle original, avec un tombé légèrement plus souple qui lui donne son caractère. Chaque paire est fabriquée à la main à Almansa et montée en cousu Goodyear pour un confort durable et une grande longévité."
p3118-v4799-s,fr_XX,MORJAS La Penny Loafer Non doublée - Daim Sable – Non Doublé,"Notre penny loafer non doublé est pensé pour un confort naturel, réalisé en daim souple et respirant, sans doublure intérieure. La silhouette décontractée conserve les lignes épurées de notre modèle original, avec un tombé légèrement plus souple qui lui donne son caractère. Chaque paire est fabriquée à la main à Almansa et montée en cousu Goodyear pour un confort durable et une grande longévité."
p5-v1519-s,fr_XX,MORJAS The Penny Loafer - Cuir Lisse Noir,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p38-v1522-s,fr_XX,MORJAS The Penny Loafer - Daim Marron,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p7-v1521-s,fr_XX,MORJAS The Penny Loafer - Cuir Lisse Marron,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p2446-v4058-s,fr_XX,MORJAS La Penny Loafer - Cuir Grainé Noir,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p6-v1520-s,fr_XX,MORJAS The Penny Loafer - Cuir Lisse Bordeaux,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p39-v1523-s,fr_XX,MORJAS The Penny Loafer - Daim Marron Moyen,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p2447-v4059-s,fr_XX,MORJAS La Penny Loafer - Cuir Grainé Marron,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p3120-v4801-s,fr_XX,MORJAS La Penny Loafer - Daim Noir,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
p1637-v3154-s,fr_XX,MORJAS La Penny Loafer - Cuir Grainé Noir & Daim Noir,"Notre modèle emblématique, lancé en 2017 et continuellement perfectionné depuis, repose sur une semelle fine pour une allure élancée et discrète. Sa silhouette polyvalente navigue aisément entre tenues casual et habillées. Chaque paire est fabriquée à la main à Almansa avec un montage Goodyear, gage de confort durable et de solidité."
