id,override,title,description
p7825-v9609-s,de_DE,MORJAS The Ivy Loafer - Rubber Sole - Schwarzes Wildleder,"Der Ivy Loafer ist vom klassischen Ivy-Stil inspiriert. Seine etwas kantigere Form und der entspannte Schnitt unterscheiden ihn von unserem Penny Loafer und verleihen ihm eine sportliche, zeitlose Silhouette. Ein kürzerer Schaft und die durchgehende Rahmennaht betonen den College-Charakter."
p764-v2281-s,de_DE,MORJAS The Penny Loafer Unlined - Braunes Wildleder – Ungefüttert,"Unser ungefütterter Penny Loafer vereint lässigen Komfort mit einem weichen, atmungsaktiven Wildleder und bewusst schlichtem Innenaufbau. Die entspannte Form behält die elegante Linie unseres Originaldesigns, wirkt jedoch etwas lockerer und dadurch einzigartig. Jedes Paar wird in Almansa handgefertigt und mit einem Goodyear-Rahmen versehen, der Komfort und Langlebigkeit über Jahre garantiert."
p1627-v3144-s,de_DE,MORJAS The Penny Loafer Unlined - Mittelbraunes Wildleder – Ungefüttert,"Unser ungefütterter Penny Loafer vereint lässigen Komfort mit einem weichen, atmungsaktiven Wildleder und bewusst schlichtem Innenaufbau. Die entspannte Form behält die elegante Linie unseres Originaldesigns, wirkt jedoch etwas lockerer und dadurch einzigartig. Jedes Paar wird in Almansa handgefertigt und mit einem Goodyear-Rahmen versehen, der Komfort und Langlebigkeit über Jahre garantiert."
p3118-v4799-s,de_DE,MORJAS Der Penny Loafer Unlined - Sandfarbenes Wildleder – Ungefüttert,"Unser ungefütterter Penny Loafer vereint lässigen Komfort mit einem weichen, atmungsaktiven Wildleder und bewusst schlichtem Innenaufbau. Die entspannte Form behält die elegante Linie unseres Originaldesigns, wirkt jedoch etwas lockerer und dadurch einzigartig. Jedes Paar wird in Almansa handgefertigt und mit einem Goodyear-Rahmen versehen, der Komfort und Langlebigkeit über Jahre garantiert."
p5-v1519-s,de_DE,MORJAS The Penny Loafer - Schwarzes Kalbsleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p38-v1522-s,de_DE,MORJAS The Penny Loafer - Braunes Wildleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p7-v1521-s,de_DE,MORJAS The Penny Loafer - Braunes Kalbsleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p2446-v4058-s,de_DE,MORJAS Der Penny Loafer - Schwarzes Grain-Leder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p6-v1520-s,de_DE,MORJAS The Penny Loafer - Burgundy Kalbsleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p39-v1523-s,de_DE,MORJAS The Penny Loafer - Mittelbraunes Wildleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p2447-v4059-s,de_DE,MORJAS Der Penny Loafer - Braunes Grain-Leder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p3120-v4801-s,de_DE,MORJAS Der Penny Loafer - Schwarzes Wildleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p1637-v3154-s,de_DE,MORJAS Der Penny Loafer - Schwarzes Grain-Leder & Schwarzes Wildleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p3152-v4834-s,de_DE,MORJAS The Penny Loafer - Schwarzes Grain-Leder & Dunkelblaues Wildleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
p786-v2303-s,de_DE,MORJAS The Penny Loafer Rubber Sole - Schwarzes Kalbsleder,"Unser Flaggschiffmodell, 2017 eingeführt und seither kontinuierlich verfeinert, steht auf einer schmalen Sohle für ein elegantes, niedriges Profil. Seine vielseitige Silhouette bewegt sich mühelos zwischen Casual und Formal. Jedes Paar wird in Almansa von Hand gefertigt und mit Goodyear-Rahmennaht verarbeitet – für dauerhaften Komfort und Beständigkeit."
